text,author,likes,replyCount,encoded
Trump says US will ‘take over’ Gaza Strip in shock announcement ► https://www.theguardian.com/world/2025/feb/05/donald-trump-plan-to-take-over-gaza-strip-netanyahu-visitTrump’s grotesque Gaza proposal is appalling ► https://www.theguardian.com/commentisfree/2025/feb/05/trump-israel-gaza-proposalTrump’s Gaza takeover won’t happen. But it has already changed the face of Israeli politics ► https://www.theguardian.com/commentisfree/2025/feb/19/donald-trump-gaza-israeli-politics-us-president-palestinians-netanyahu,@guardiannews,172,26,"[0.014778068, 0.0013568841]"
"Yes,yrs yaaaas",@astronomyphilly,0,0,"[-0.025039759, -0.0032605256]"
They lost me on  0:15 who ever made this video is truly in tune with their wild imagination .,@repentorperish7630,0,0,"[-0.020759167, -0.03224026]"
Its joeover.  The west has fallen chat 😔,@mrbaddin,0,0,"[0.0050048786, 0.00028135392]"
Mentally ill,@stevenbennion1544,0,0,"[0.024776928, 0.003627216]"
at what cost?,@dannyoberthier3053,0,0,"[0.063700676, -0.031704795]"
Cool!,@junix6899,1,0,"[-0.0919673, 0.033257343]"
This is fantastic!,@sincenobodyasked3123,1,0,"[-0.058301613, -0.0017936174]"
tuff video,@boost24,0,0,"[-0.08431686, -0.033953514]"
Is he a mad?!,@Destroyer36952,0,1,"[-0.017690836, -0.05623112]"
wow,@travishensley5495,0,0,"[-0.024375096, -0.013972678]"
Knowing of the history of gaza and the situation...this is just disgusting and disrespectful to the reality that is happening in this moment. 😢,@belonging9200,2,0,"[-0.019564651, -0.0155389765]"
Sick man.,@brendasolano1126,0,0,"[0.028908504, -0.00872163]"
simple crazy,@spello5872,0,0,"[-0.0053129154, 0.006364547]"
"SICK, SICK, SICK man!",@sylviabowman2927,0,0,"[-0.004682248, -0.021870038]"
Best thing on the guardian in years 😂,@emilygooner9697,2,0,"[0.020137062, 0.043297037]"
End of America ...,@MohamadNiflan-eh7oi,0,1,"[0.011110722, 0.031628]"
This is awesome😂😂,@johankrausse9026,0,0,"[-0.053694118, -0.003814521]"
فشرتو غزه والقدس بلد عربي أصيل تاريخ فلسطين المشرف اقدم من تاريخ امريكا واليهود أمريكا الذي اسسها الهنود,@mayaboudaoud257,2,1,"[-0.026919482, 0.043834887]"
"lyrics:Donald’s coming to set you free, bringing the life for all to see. No more tunnels, no more fear, Trump Gaza is finally here. Trump Gaza shining bright, golden future a brand new light. Feast and dance the deal is done, Trump Gaza number one",@hayato3164,2,0,"[-0.019539673, -0.03639452]"
So they want to clone Dubai? Can the rich Saudis pick up the bill as well since it is all Saudi style...,@199724,1,0,"[0.014461593, -0.034626935]"
Did Trump really make this,@cespy1885,1,0,"[-0.016359143, -0.012982738]"
Why are we in league with Israel?,@Xixbalba,0,0,"[-0.014836405, -0.0412041]"
What is Elon Musk eating?,@SaadiqEl07,0,0,"[0.046773985, -0.07491638]"
✌✌👍👍👍🙌🙌🙌💪💪💪❤❤❤❤❤👏👏👏👏,@olermochannel,1,0,"[-0.010790561, 0.037765387]"
This is a total disgrace. Every U.S. citizen with morals should be outraged at Trump. Sick!!!,@mgronda410,4,0,"[5.8454763e-05, 0.0066996845]"
غزة للفلسطينيين ولماذا يا ترامب لا تعطي امريكا للهنود الحمر,@Milad-f7u,4,0,"[-0.024216698, 0.046475336]"
"Ok MAGAs, now do you see the true character of Trump?",@davo2587,2,0,"[-0.022713814, 0.023346884]"
"When will Trump and Netanyahu be judged on this earth, who have the blood of innocent Palestinian children on their hands?😢😢😢",@damavacadanza,2,0,"[0.013337044, -0.026383508]"
