text,author,likes,replyCount,encoded
Watch clips from Superbad on the Movieclips channel: https://www.youtube.com/playlist?list=PLZbXA4lyCtqoNh5TN-mNU2qa7fMY7DnwW,@RottenTomatoesCLASSICTRAILERS,111,6,"[-0.05364754, 0.012676319]"
Great movie !😂😂😂❤❤❤,@aphrodite4473,0,0,"[-0.012153695, -0.0011486362]"
love it,@DanielPhillips-r1d,0,0,"[-0.06444092, -0.019424507]"
This movie is so fire,@pierremarais2184,0,0,"[0.0031119625, -0.018373566]"
"Violent misogynist Seth Rogan is in it, his threats against women make this no longer funny 😐",@RoboBreaker,0,0,"[0.024982162, -0.044678766]"
❤❤❤❤❤❤❤,@ZachQuintana-v7p,0,0,"[-0.010790561, 0.037765387]"
❤❤❤,@ZachQuintana-v7p,0,0,"[-0.010790561, 0.037765387]"
A true work of art,@magnumlad1001,0,0,"[-0.03896393, 0.004307285]"
"My parents didn’t want me to see this movie because it was Rated R so I went to see Spider-Man 3, Ratatouille, Transformers and Hairspray and Enchanted and Shrek the Third and Bee movie.",@jacobgarrity651,0,0,"[-0.012215562, -0.01601679]"
So overrated. Not a single actually funny moment in this movie,@awolfx7947,0,0,"[0.041976053, 0.0077355946]"
"If there's a person on God's Green Earth who is more grateful than me to this film for launching Emma Stone's career, then I don't know who it is!!! ❤😂🎉",@EricBrodie-dy3mp,2,0,"[0.035899688, -0.041749205]"
"Best comedy ever made. ""NOOO MCLOVIN, WHYYYYYYY"" hahahahahah, I've laughed for 10 years 😂",@mendezgalvez,0,0,"[-0.004947675, -0.0036929764]"
jebem vam boga,@zz3ka427,0,0,"[-0.038621616, 0.011634146]"
best movie ever made,@dirkrunfast,0,0,"[0.035963416, -0.020296047]"
We more comedy like this and just remakes or reboots back when high school used to look in the early 2000s.,@jacobgarrity6410,0,0,"[-0.03881476, 0.021105684]"
9:03 am October 17th 2024,@RandyWhite-e6t,0,0,"[0.10159052, 0.060003795]"
I’m about to watch this movie for the first time,@RandyWhite-e6t,1,0,"[0.021928687, -0.0049037803]"
ONE of the GREATEST COMEDIES of ALL-TIME!!!,@JeffyPlaysItAll,0,0,"[-0.0068072695, 0.017391352]"
"I put this movie on while eating dinner and ended up watching it till the end just sitting by the dinner table. It flew by. Genuinely hilarious movie. Also, the end scene proves it isn’t some misogynistic flick (like many claim). The message is very clear",@FutureAbe,1,0,"[-0.012825788, -0.021553352]"
We had it so good in the 2000s and we didn't even know it,@adsadam1,0,0,"[-0.023708515, -0.018215287]"
before social media accounts kill interactions,@Emmet-q4h,2,0,"[0.00019431689, -0.031763535]"
Me and my friends quote this movie regularly since it came out when we was 12  and now we about to be 30,@cult_horror_junkie8144,0,0,"[-0.020771734, -0.00871138]"
is it just me or these both guys felt gayish in the end?,@rishabhsharma602,0,0,"[-0.00155734, -0.04585009]"
"The movie is all about ps2,flip phone, high school flex of our Gen z.Thank you",@yzx9122,0,0,"[-0.039245084, 0.015270636]"
"Greatest comedy of all time. I remember seeing this aged 16 , never laughed so hard before",@MaxKurth-cs8dt,2,0,"[0.01702496, 0.019333303]"
💩 story .. 👎🏻,@pollywood1,0,0,"[0.010521758, -0.019825509]"
hate it,@nikokomac24,0,0,"[-0.021414895, -0.046452403]"
